Id,Parent,Label
1,0,Animal
2,0,Food
3,0,Clothing
4,0,Company
5,0,Job
6,0,Movie
7,0,Software
8,0,Country
9,1,Mammal
10,1,Reptile
11,1,Fish
12,1,Birds
13,1,Amphibian
14,1,Insect
15,1,Dinosaur
16,1,Bacteria
17,2,Fruit
18,2,Vegetable
19,2,Meat
20,2,Dairy
21,2,Grain
22,2,Nut
23,2,Drink
24,2,Junk Food
25,3,Top
26,3,Bottom
27,3,Shoe
28,3,Hat
29,3,Accessory
30,3,Undergarment
31,3,Neckwear
32,3,Carry on
33,4,Sports
34,4,Fashion
35,4,Internet
36,4,Camera
37,4,Credit Card
38,4,Chocolate
39,4,Telco
40,4,Non Profit
41,5,Arts
42,5,Media
43,5,Medical
44,5,Management
45,5,Education
46,5,Defense
47,5,Finance
48,5,Airline
49,6,Superhero
50,6,Comedy
51,6,Horror
52,6,Musical
53,6,Animation
54,6,Sci-fi
55,6,Romance
56,6,Documentary
57,7,To Do
58,7,Coding
59,7,Recording
60,7,Word
61,7,Games
62,7,Presentation
63,7,Music
64,7,Messaging
65,8,USA
66,8,China
67,8,Russia
68,8,Germany
69,8,UK
70,8,India
71,8,Japan
72,8,Australia
73,9,Dog
74,9,Hamster
75,9,Lion
76,9,Tiger
77,9,Zebra
78,9,Giraffe
79,9,Cat
80,9,Rat
81,10,Lizard
82,10,Turtle
83,10,Crocodile
84,10,Snake
85,10,Gecko
86,10,Charmelion
87,10,Komodo
88,10,Aligator
89,11,Catfish
90,11,Salmon
91,11,Tuna
92,11,Guppy
93,11,Sardine
94,11,Goldfish
95,11,Carp
96,11,Pomfret
97,12,Pigeon
98,12,Sparrow
99,12,Eagle
100,12,Vulture
101,12,Crane
102,12,Humming bird
103,12,Mynah
104,12,Parrot
105,13,Frog
106,13,American Toad
107,13,Salamander
108,13,Newt
109,13,Tadpole
110,13,Caecilian
111,13,Toad
112,13,Hellbender
113,14,Housefly
114,14,Cockroach
115,14,Mosquito
116,14,Ant
117,14,Bee
118,14,Ladybird
119,14,Wasp
120,14,Moth
121,15,T-Rex
122,15,Spinosaurus
123,15,Velociraptor
124,15,Triceratops
125,15,Stegosaurus
126,15,Brachiosaurus
127,15,Psittacosaurus
128,15,Giganotosaurus
129,16,Proteus spp
130,16,Morganella
131,16,Providencia
132,16,C. freundii
133,16,C. koseri
134,16,A. adiacens
135,16,S. milleri
136,16,S. bovis
137,17,Apple
138,17,Mango
139,17,Grape
140,17,Watermelon
141,17,Rambutan
142,17,Honeydew
143,17,Strawberry
144,17,Blueberry
145,18,Brocolli
146,18,Cabbage
147,18,Kale
148,18,Spinach
149,18,Bean sprout
150,18,Cauliflower
151,18,Lettuce
152,18,Carrot
153,19,Chicken
154,19,Beef
155,19,Pork
156,19,Mutton
157,19,Venison
158,19,Turkey
159,19,Shrimp
160,19,Crab
161,20,Cheese
162,20,Cream
163,20,Yoghurt
164,20,Milk
165,20,Butter
166,20,Egg
167,20,Custard
168,20,Pudding
169,21,Rice
170,21,Quinoa
171,21,Barley
172,21,Oatmeal
173,21,Wheat
174,21,Buckwheat
175,21,Maize
176,21,Millet
177,22,Almond
178,22,Cashew
179,22,Macadamia
180,22,Walnut
181,22,Chestnut
182,22,Hazelnut
183,22,Peanut
184,22,Pecan
185,23,Coke
186,23,Green Tea
187,23,Coffee
188,23,Soda
189,23,Pepsi
190,23,Water
191,23,Juice
192,23,Beer
193,24,Burger
194,24,French Fries
195,24,Hashbrown
196,24,Pancake
197,24,Candy
198,24,Instant noodles
199,24,Chips
200,24,Pizza
201,25,Shirt
202,25,Coat
203,25,Jacket
204,25,Singlet
205,25,Dress
206,25,Polo tee
207,25,Tank top
208,25,Blazer
209,26,Jeans
210,26,Skirt
211,26,Shorts
212,26,Tights
213,26,Dress pants
214,26,Joggers
215,26,Skorts
216,26,Leggings
217,27,Sneakers
218,27,Heels
219,27,Slippers
220,27,Boots
221,27,Sandals
222,27,Platforms
223,27,Trainers
224,27,Loafers
225,28,Fedora
226,28,Beret
227,28,Beanie
228,28,Bucket hat
229,28,Baseball cap
230,28,Snapback
231,28,Helmet
232,28,Straw hat
233,29,Ring
234,29,Watch
235,29,Bracelet
236,29,Toe ring
237,29,Earring
238,29,Sunglass
239,29,Bangle
240,29,Headband
241,30,Bra
242,30,Boxers
243,30,Briefs
244,30,Panties
245,30,Thongs
246,30,Bikini
247,30,Knickers
248,30,Trunks
249,31,Pendant
250,31,Locket
251,31,Choker
252,31,Bowtie
253,31,Tie
254,31,Cravat
255,31,Scarf
256,31,Bands
257,32,Backpack
258,32,Slingbag
259,32,Fannypack
260,32,Totes
261,32,Handbag
262,32,Clutch
263,32,Fieldpack
264,32,Harversack
265,33,Adidas
266,33,Nike
267,33,Puma
268,33,Aasics
269,33,Under Armour
270,33,Reebok
271,33,Wilson
