Id,Parent,Label
1,0,Animals
2,0,Food
3,0,Clothing
4,0,Companies
5,0,Jobs
6,0,Movies
5,1,Mammals
6,1,Reptiles
7,1,Fish
8,1,Birds
9,1,Amphibians
10,1,Insects
11,2,Fruit
12,2,Vegetables
13,2,Meat
14,2,Dairy
15,2,Grain
16,2,Nuts
17,3,Tops
18,3,Bottoms
19,3,Shoes
20,3,Hats
21,3,Accessories
22,3,Undergarments
23,4,Sports
24,4,Fashion
25,4,Internet
26,4,Camera
27,4,Credit Card
28,4,Chocolate
29,5,Arts
30,5,Media
31,5,Medical
32,5,Business
33,5,Education
34,5,Defense
35,6,Superhero
36,6,Comedy
37,6,Horror
38,6,Musicals
39,6,Animation
40,6,Sci-fi
